Error No. (DEC),Error No. (HEX),Description
288,0x00000120,Attempt to release mutex not owned by caller.
298,0x0000012A,Too many posts were made to a semaphore.
299,0x0000012B,Only part of a ReadProcessMemory or WriteProcessMemory request was completed.
300,0x0000012C,The oplock request is denied.
301,0x0000012D,An invalid oplock acknowledgment was received by the system.
302,0x0000012E,The volume is too fragmented to complete this operation.
303,0x0000012F,The file cannot be opened because it is in the process of being deleted.
317,0x0000013D,The system cannot find message text for message number 0x%1 in the message file for %2.
318,0x0000013E,
487,0x000001E7,Attempt to access invalid address.
534,0x00000216,Arithmetic result exceeded 32 bits.
535,0x00000217,There is a process on other end of the pipe.
536,0x00000218,Waiting for a process to open the other end of the pipe.
994,0x000003E2,Access to the extended attribute was denied.
995,0x000003E3,The I/O operation has been aborted because of either a thread exit or an application request.
996,0x000003E4,Overlapped I/O event is not in a signaled state.
997,0x000003E5,Overlapped I/O operation is in progress.
998,0x000003E6,Invalid access to memory location.
999,0x000003E7,Error performing inpage operation.
1001,0x000003E9,Recursion too deep; the stack overflowed.
1002,0x000003EA,The window cannot act on the sent message.
1003,0x000003EB,Cannot complete this function.
1004,0x000003EC,Invalid flags.
1005,0x000003ED,"The volume does not contain a recognized file system.
Please make sure that all required file system drivers are loaded and that the volume is not corrupted."
1006,0x000003EE,The volume for a file has been externally altered so that the opened file is no longer valid.
1007,0x000003EF,The requested operation cannot be performed in full-screen mode.
1008,0x000003F0,An attempt was made to reference a token that does not exist.
1009,0x000003F1,The configuration registry database is corrupt.
1010,0x000003F2,The configuration registry key is invalid.
1011,0x000003F3,The configuration registry key could not be opened.
1012,0x000003F4,The configuration registry key could not be read.
1013,0x000003F5,The configuration registry key could not be written.
1014,0x000003F6,One of the files in the registry database had to be recovered by use of a log or alternate copy. The recovery was successful.
1015,0x000003F7,"The registry is corrupted. The structure of one of the files containing registry data is corrupted, or the system's memory image of the file is corrupted, or the file could not be recovered because the alternate copy or log was absent or corrupted."
1016,0x000003F8,"An I/O operation initiated by the registry failed unrecoverably. The registry could not read in, or write out, or flush, one of the files that contain the system's image of the registry."
1017,0x000003F9,"The system has attempted to load or restore a file into the registry, but the specified file is not in a registry file format."
1018,0x000003FA,Illegal operation attempted on a registry key that has been marked for deletion.
1019,0x000003FB,System could not allocate the required space in a registry log.
1020,0x000003FC,Cannot create a symbolic link in a registry key that already has subkeys or values.
1021,0x000003FD,Cannot create a stable subkey under a volatile parent key.
1022,0x000003FE,A notify change request is being completed and the information is not being returned in the caller's buffer. The caller now needs to enumerate the files to find the changes.
1051,0x0000041B,A stop control has been sent to a service that other running services are dependent on.
