Error No. (DEC),Error No. (HEX),Description
13011,0x000032D3,The specified main mode authentication list was not found.
13012,0x000032D4,The specified quick mode policy is being used.
13013,0x000032D5,The specified main mode policy was not found.
13014,0x000032D6,The specified quick mode policy was not found
13015,0x000032D7,The manifest file contains one or more syntax errors.
13016,0x000032D8,The application attempted to activate a disabled activation context.
13017,0x000032D9,The requested lookup key was not found in any active activation context.
13018,0x000032DA,The Main Mode filter is pending deletion.
13019,0x000032DB,The transport filter is pending deletion.
13020,0x000032DC,The tunnel filter is pending deletion.
13021,0x000032DD,The Main Mode policy is pending deletion.
13022,0x000032DE,The Main Mode authentication bundle is pending deletion.
13023,0x000032DF,The Quick Mode policy is pending deletion.
13024,0x000032E0,
13025,0x000032E1,
13800,0x000035E8,ERROR_IPSEC_IKE_NEG_STATUS_BEGIN
13801,0x000035E9,IKE authentication credentials are unacceptable
13802,0x000035EA,IKE security attributes are unacceptable
13803,0x000035EB,IKE Negotiation in progress
13804,0x000035EC,General processing error
13805,0x000035ED,Negotiation timed out
13806,0x000035EE,IKE failed to find valid machine certificate
13807,0x000035EF,IKE SA deleted by peer before establishment completed
13808,0x000035F0,IKE SA deleted before establishment completed
13809,0x000035F1,Negotiation request sat in Queue too long
13810,0x000035F2,Negotiation request sat in Queue too long
13811,0x000035F3,Negotiation request sat in Queue too long
13812,0x000035F4,Negotiation request sat in Queue too long
13813,0x000035F5,No response from peer
13814,0x000035F6,Negotiation took too long
13815,0x000035F7,Negotiation took too long
13816,0x000035F8,Unknown error occurred
13817,0x000035F9,Certificate Revocation Check failed
13818,0x000035FA,Invalid certificate key usage
13819,0x000035FB,Invalid certificate type
13820,0x000035FC,No private key associated with machine certificate
13822,0x000035FE,Failure in Diffie-Helman computation
13824,0x00003600,Invalid header
13825,0x00003601,No policy configured
13826,0x00003602,Failed to verify signature
13827,0x00003603,Failed to authenticate using kerberos
13828,0x00003604,Peer's certificate did not have a public key
13829,0x00003605,Error processing error payload
13830,0x00003606,Error processing SA payload
13831,0x00003607,Error processing Proposal payload
13832,0x00003608,Error processing Transform payload
13833,0x00003609,Error processing KE payload
13834,0x0000360A,Error processing ID payload
13835,0x0000360B,Error processing Cert payload
13836,0x0000360C,Error processing Certificate Request payload
13837,0x0000360D,Error processing Hash payload
13838,0x0000360E,Error processing Signature payload
13839,0x0000360F,Error processing Nonce payload
13840,0x00003610,Error processing Notify payload
13841,0x00003611,Error processing Delete Payload
13842,0x00003612,Error processing VendorId payload
13843,0x00003613,Invalid payload received
13844,0x00003614,Soft SA loaded
13845,0x00003615,Soft SA torn down
13846,0x00003616,Invalid cookie received.
13847,0x00003617,Peer failed to send valid machine certificate
13848,0x00003618,Certification Revocation check of peer's certificate failed
13849,0x00003619,New policy invalidated SAs formed with old policy
13850,0x0000361A,There is no available Main Mode IKE policy.
13851,0x0000361B,Failed to enabled TCB privilege.
13852,0x0000361C,Failed to load SECURITY.DLL.
13853,0x0000361D,Failed to obtain security function table dispatch address from SSPI.
13854,0x0000361E,Failed to query Kerberos package to obtain max token size.
13855,0x0000361F,Failed to obtain Kerberos server credentials for ISAKMP/ERROR_IPSEC_IKE service.  Kerberos authentication will not function.  The most likely reason for this is lack of domain membership.  This is normal if your computer is a member of a workgroup.
13856,0x00003620,Failed to determine SSPI principal name for ISAKMP/ERROR_IPSEC_IKE service (QueryCredentialsAttributes).
13857,0x00003621,Failed to obtain new SPI for the inbound SA from Ipsec driver.  The most common cause for this is that the driver does not have the correct filter.  Check your policy to verify the filters.
13858,0x00003622,Given filter is invalid
13859,0x00003623,Memory allocation failed.
13860,0x00003624,"Failed to add Security Association to IPSec Driver.  The most common cause for this is if the IKE negotiation took too long to complete.  If the problem persists, reduce the load on the faulting machine."
13861,0x00003625,Invalid policy
13862,0x00003626,Invalid DOI
13863,0x00003627,Invalid situation
13864,0x00003628,Diffie-Hellman failure
13865,0x00003629,Invalid Diffie-Hellman group
13866,0x0000362A,Error encrypting payload
13867,0x0000362B,Error decrypting payload
13868,0x0000362C,Policy match error
13869,0x0000362D,Unsupported ID
13870,0x0000362E,Hash verification failed
13871,0x0000362F,Invalid hash algorithm
13872,0x00003630,Invalid hash size
13873,0x00003631,Invalid encryption algorithm
13874,0x00003632,Invalid authentication algorithm
13875,0x00003633,Invalid certificate signature
13876,0x00003634,Load failed
13877,0x00003635,Deleted via RPC call
13878,0x00003636,Temporary state created to perform reinit. This is not a real failure.
13879,0x00003637,The lifetime value received in the Responder Lifetime Notify is below the Windows 2000 configured minimum value.  Please fix the policy on the peer machine.
13881,0x00003639,Key length in certificate is too small for configured security requirements.
13882,0x0000363A,Max number of established MM SAs to peer exceeded.
13883,0x0000363B,IKE received a policy that disables negotiation.
13884,0x0000363C,ERROR_IPSEC_IKE_NEG_STATUS_END
14000,0x000036B0,The requested section was not present in the activation context.
14001,0x000036B1,This application has failed to start because the application configuration is incorrect. Reinstalling the application may fix this problem.
14002,0x000036B2,The application binding data format is invalid.
14003,0x000036B3,The referenced assembly is not installed on your system.
14004,0x000036B4,The manifest file does not begin with the required tag and format information.
14005,0x000036B5,The manifest file contains one or more syntax errors.
14006,0x000036B6,The application attempted to activate a disabled activation context.
14007,0x000036B7,The requested lookup key was not found in any active activation context.
14008,0x000036B8,A component version required by the application conflicts with another component version already active.
14009,0x000036B9,The type requested activation context section does not match the query API used.
14010,0x000036BA,Lack of system resources has required isolated activation to be disabled for the current thread of execution.
14011,0x000036BB,An attempt to set the process default activation context failed because the process default activation context was already set.
14012,0x000036BC,The encoding group identifier specified is not recognized.
14013,0x000036BD,The encoding requested is not recognized.
14014,0x000036BE,The manifest contains a reference to an invalid URI.
14015,0x000036BF,The application manifest contains a reference to a dependent assembly which is not installed
14016,0x000036C0,The manifest for an assembly used by the application has a reference to a dependent assembly which is not installed
14017,0x000036C1,The manifest contains an attribute for the assembly identity which is not valid.
14018,0x000036C2,The manifest is missing the required default namespace specification on the assembly element.
14019,0x000036C3,"The manifest has a default namespace specified on the assembly element but its value is not ""urn:schemas-microsoft-com:asm.v1""."
14020,0x000036C4,The private manifest probed has crossed reparse-point-associated path
14021,0x000036C5,Two or more components referenced directly or indirectly by the application manifest have files by the same name.
14022,0x000036C6,Two or more components referenced directly or indirectly by the application manifest have window classes with the same name.
14023,0x000036C7,Two or more components referenced directly or indirectly by the application manifest have the same COM server CLSIDs.
14024,0x000036C8,Two or more components referenced directly or indirectly by the application manifest have proxies for the same COM interface IIDs.
14025,0x000036C9,Two or more components referenced directly or indirectly by the application manifest have the same COM type library TLBIDs.
14026,0x000036CA,Two or more components referenced directly or indirectly by the application manifest have the same COM ProgIDs.
14027,0x000036CB,Two or more components referenced directly or indirectly by the application manifest are different versions of the same component which is not permitted.
14028,0x000036CC,"A component's file does not match the verification information present in the
component manifest."
14029,0x000036CD,The policy manifest contains one or more syntax errors.
14030,0x000036CE,"Manifest Parse Error : A string literal was expected, but no opening quote character was found."
14031,0x000036CF,Manifest Parse Error : Incorrect syntax was used in a comment.
14032,0x000036D0,Manifest Parse Error : A name was started with an invalid character.
14033,0x000036D1,Manifest Parse Error : A name contained an invalid character.
14034,0x000036D2,Manifest Parse Error : A string literal contained an invalid character.
14035,0x000036D3,Manifest Parse Error : Invalid syntax for an xml declaration.
14036,0x000036D4,Manifest Parse Error : An Invalid character was found in text content.
14037,0x000036D5,Manifest Parse Error : Required white space was missing.
14038,0x000036D6,Manifest Parse Error : The character '>' was expected.
14039,0x000036D7,Manifest Parse Error : A semi colon character was expected.
14040,0x000036D8,Manifest Parse Error : Unbalanced parentheses.
14041,0x000036D9,Manifest Parse Error : Internal error.
14042,0x000036DA,Manifest Parse Error : Whitespace is not allowed at this location.
14043,0x000036DB,Manifest Parse Error : End of file reached in invalid state for current encoding.
14044,0x000036DC,Manifest Parse Error : Missing parenthesis.
14045,0x000036DD,"Manifest Parse Error : A single or double closing quote character (\' or \"") is missing."
14046,0x000036DE,Manifest Parse Error : Multiple colons are not allowed in a name.
14047,0x000036DF,Manifest Parse Error : Invalid character for decimal digit.
14048,0x000036E0,Manifest Parse Error : Invalid character for hexidecimal digit.
14049,0x000036E1,Manifest Parse Error : Invalid unicode character value for this platform.
14050,0x000036E2,Manifest Parse Error : Expecting whitespace or '?'.
14051,0x000036E3,Manifest Parse Error : End tag was not expected at this location.
14052,0x000036E4,Manifest Parse Error : The following tags were not closed: %1.
14053,0x000036E5,Manifest Parse Error : Duplicate attribute.
14054,0x000036E6,Manifest Parse Error : Only one top level element is allowed in an XML document.
14055,0x000036E7,Manifest Parse Error : Invalid at the top level of the document.
14056,0x000036E8,Manifest Parse Error : Invalid xml declaration.
14057,0x000036E9,Manifest Parse Error : XML document must have a top level element.
14058,0x000036EA,Manifest Parse Error : Unexpected end of file.
14059,0x000036EB,Manifest Parse Error : Parameter entities cannot be used inside markup declarations in an internal subset.
14060,0x000036EC,Manifest Parse Error : Element was not closed.
14061,0x000036ED,Manifest Parse Error : End element was missing the character '>'.
14062,0x000036EE,Manifest Parse Error : A string literal was not closed.
14063,0x000036EF,Manifest Parse Error : A comment was not closed.
14064,0x000036F0,Manifest Parse Error : A declaration was not closed.
14065,0x000036F1,Manifest Parse Error : A CDATA section was not closed.
14066,0x000036F2,"Manifest Parse Error : The namespace prefix is not allowed to start with the reserved string ""xml""."
14067,0x000036F3,Manifest Parse Error : System does not support the specified encoding.
14068,0x000036F4,Manifest Parse Error : Switch from current encoding to specified encoding not supported.
14069,0x000036F5,Manifest Parse Error : The name 'xml' is reserved and must be lower case.
14070,0x000036F6,Manifest Parse Error : The standalone attribute must have the value 'yes' or 'no'.
14071,0x000036F7,Manifest Parse Error : The standalone attribute cannot be used in external entities.
14072,0x000036F8,Manifest Parse Error : Invalid version number.
14073,0x000036F9,Manifest Parse Error : Missing equals sign between attribute and attribute value.
14074,0x000036FA,Assembly Protection Error : Unable to recover the specified assembly.
14075,0x000036FB,Assembly Protection Error : The public key for an assembly was too short to be allowed.
14076,0x000036FC,"Assembly Protection Error : The catalog for an assembly is not valid, or does not match the assembly's manifest."
14077,0x000036FD,An HRESULT could not be translated to a corresponding Win32 error code.
14078,0x000036FE,Assembly Protection Error : The catalog for an assembly is missing.
14079,0x000036FF,The supplied assembly identity is missing one or more attributes which must be present in this context.
14080,0x00003700,The supplied assembly identity has one or more attribute names that contain characters not permitted in XML names.
197120,0x00030200,The underlying file was converted to compound file format.
197121,0x00030201,The storage operation should block until more data is available.
197122,0x00030202,The storage operation should retry immediately.
197123,0x00030203,The notified event sink will not influence the storage operation.
197124,0x00030204,Multiple opens prevent consolidated. (commit succeeded).
197125,0x00030205,Consolidation of the storage file failed. (commit succeeded).
197126,0x00030206,Consolidation of the storage file is inappropriate. (commit succeeded).
262144,0x00040000,Use the registry database to provide the requested information
262145,0x00040001,"Success, but static"
262146,0x00040002,Macintosh clipboard format
262400,0x00040100,Successful drop took place
262401,0x00040101,Drag-drop operation canceled
262402,0x00040102,Use the default cursor
262448,0x00040130,Data has same FORMATETC
262464,0x00040140,View is already frozen
262512,0x00040170,FORMATETC not supported
262513,0x00040171,Same cache
262514,0x00040172,Some cache(s) not updated
262528,0x00040180,Invalid verb for OLE object
262529,0x00040181,Verb number is valid but verb cannot be done now
262530,0x00040182,Invalid window handle passed
262560,0x000401A0,Message is too long; some of it had to be truncated before displaying
262592,0x000401C0,Unable to convert OLESTREAM to IStorage
262626,0x000401E2,Moniker reduced to itself
262628,0x000401E4,Common prefix is this moniker
262629,0x000401E5,Common prefix is input moniker
262630,0x000401E6,Common prefix is both monikers
262631,0x000401E7,Moniker is already registered in running object table
262656,0x00040200,An event was able to invoke some but not all of the subscribers
262658,0x00040202,An event was delivered but there were no subscribers
267008,0x00041300,The task is ready to run at its next scheduled time.
267009,0x00041301,The task is currently running.
267010,0x00041302,The task will not run at the scheduled times because it has been disabled.
267011,0x00041303,The task has not yet run.
267012,0x00041304,There are no more runs scheduled for this task.
267013,0x00041305,One or more of the properties that are needed to run this task on a schedule have not been set.
267014,0x00041306,The last run of the task was terminated by the user.
267015,0x00041307,Either the task has no triggers or the existing triggers are disabled or not set.
267016,0x00041308,Event triggers don't have set run times.
315392,0x0004D000,"An asynchronous operation was specified. The operation has begun, but its outcome is not known yet."
315393,0x0004D001,XACT_S_DEFECT
315394,0x0004D002,The method call succeeded because the transaction was read-only.
315395,0x0004D003,"The transaction was successfully aborted. However, this is a coordinated transaction, and some number of enlisted resources were aborted outright because they could not support abort-retaining semantics"
315396,0x0004D004,"No changes were made during this call, but the sink wants another chance to look if any other sinks make further changes."
315397,0x0004D005,The sink is content and wishes the transaction to proceed. Changes were made to one or more resources during this call.
315398,0x0004D006,"The sink is for the moment and wishes the transaction to proceed, but if other changes are made following this return by other event sinks then this sink wants another chance to look"
315399,0x0004D007,"The transaction was successfully aborted. However, the abort was non-retaining."
315400,0x0004D008,An abort operation was already in progress.
315401,0x0004D009,The resource manager has performed a single-phase commit of the transaction.
315402,0x0004D00A,The local transaction has not aborted.
315408,0x0004D010,The resource manager has requested to be the coordinator (last resource manager) for the transaction.
524306,0x00080012,Not all the requested interfaces were available
524307,0x00080013,The specified machine name was not found in the cache.
590610,0x00090312,"The function completed successfully, but must be called again to complete the context"
590611,0x00090313,"The function completed successfully, but CompleteToken must be called"
590612,0x00090314,"The function completed successfully, but both CompleteToken and this function must be called to complete the context"
590613,0x00090315,"The logon was completed, but no network authority was available. The logon was made using locally known information"
590615,0x00090317,The context has expired and can no longer be used.
590624,0x00090320,"The credentials supplied were not complete, and could not be verified. Additional information can be returned from the context."
590625,0x00090321,The context data must be renegotiated with the peer.
590627,0x00090323,There is no LSA mode context associated with this context.
593938,0x00091012,The protected data needs to be re-protected.
2147483649,0x80000001,Not implemented
2147483650,0x80000002,Ran out of memory
2147483651,0x80000003,One or more arguments are invalid
2147483652,0x80000004,No such interface supported
2147483653,0x80000005,Invalid pointer
2147483654,0x80000006,Invalid handle
2147483655,0x80000007,Operation aborted
2147483656,0x80000008,Unspecified error
2147483657,0x80000009,General access denied error
2147483658,0x8000000A,The data necessary to complete this operation is not yet available.
2147500033,0x80004001,Not implemented
2147500034,0x80004002,No such interface supported
2147500035,0x80004003,Invalid pointer
2147500036,0x80004004,Operation aborted
2147500037,0x80004005,Unspecified error
2147500038,0x80004006,Thread local storage failure
2147500039,0x80004007,Get shared memory allocator failure
2147500040,0x80004008,Get memory allocator failure
2147500041,0x80004009,Unable to initialize class cache
2147500042,0x8000400A,Unable to initialize RPC services
2147500043,0x8000400B,Cannot set thread local storage channel control
2147500044,0x8000400C,Could not allocate thread local storage channel control
2147500045,0x8000400D,The user supplied memory allocator is unacceptable
2147500046,0x8000400E,The OLE service mutex already exists
2147500047,0x8000400F,The OLE service file mapping already exists
2147500048,0x80004010,Unable to map view of file for OLE service
2147500049,0x80004011,Failure attempting to launch OLE service
2147500050,0x80004012,There was an attempt to call CoInitialize a second time while single threaded
2147500051,0x80004013,A Remote activation was necessary but was not allowed
2147500052,0x80004014,A Remote activation was necessary but the server name provided was invalid
2147500053,0x80004015,The class is configured to run as a security id different from the caller
2147500054,0x80004016,Use of Ole1 services requiring DDE windows is disabled
2147500055,0x80004017,A RunAs specification must be <domain name>\<user name> or simply <user name>
2147500056,0x80004018,The server process could not be started.  The pathname may be incorrect.
2147500057,0x80004019,The server process could not be started as the configured identity.  The pathname may be incorrect or unavailable.
2147500058,0x8000401A,The server process could not be started because the configured identity is incorrect.  Check the username and password.
2147500059,0x8000401B,The client is not allowed to launch this server.
2147500060,0x8000401C,The service providing this server could not be started.
2147500061,0x8000401D,This computer was unable to communicate with the computer providing the server.
2147500062,0x8000401E,The server did not respond after being launched.
2147500063,0x8000401F,The registration information for this server is inconsistent or incomplete.
2147500064,0x80004020,The registration information for this interface is inconsistent or incomplete.
2147500065,0x80004021,The operation attempted is not supported.
2147500066,0x80004022,A dll must be loaded.
2147500067,0x80004023,A Microsoft Software Installer error was encountered.
2147500068,0x80004024,The specified activation could not occur in the client context as specified.
2147500069,0x80004025,Activations on the server are paused.
2147500070,0x80004026,Activations on the server are not paused.
2147500071,0x80004027,The component or application containing the component has been disabled.
2147500072,0x80004028,The common language runtime is not available
2147500073,0x80004029,The thread-pool rejected the submitted asynchronous work.
2147500074,0x8000402A,"The server started, but did not finish initializing in a timely fashion."
2147500075,0x8000402B,Unable to complete the call since there is no COM+ security context inside IObjectControl.Activate.
2147500080,0x80004030,The provided tracker configuration is invalid
2147500081,0x80004031,The provided thread pool configuration is invalid
2147500082,0x80004032,The provided side-by-side configuration is invalid
2147500083,0x80004033,The server principal name (SPN) obtained during security negotiation is malformed.
2147549183,0x8000FFFF,Catastrophic failure
2147549185,0x80010001,Call was rejected by callee.
2147549186,0x80010002,Call was canceled by the message filter.
2147549187,0x80010003,The caller is dispatching an intertask SendMessage call and cannot call out via PostMessage.
2147549188,0x80010004,The caller is dispatching an asynchronous call and cannot make an outgoing call on behalf of this call.
2147549189,0x80010005,It is illegal to call out while inside message filter.
2147549190,0x80010006,The connection terminated or is in a bogus state and cannot be used any more. Other connections are still valid.
2147549191,0x80010007,The callee (server [not server application]) is not available and disappeared; all connections are invalid. The call may have executed.
2147549192,0x80010008,The caller (client) disappeared while the callee (server) was processing a call.
2147549193,0x80010009,The data packet with the marshalled parameter data is incorrect.
2147549194,0x8001000A,The call was not transmitted properly; the message queue was full and was not emptied after yielding.
2147549195,0x8001000B,"The client (caller) cannot marshall the parameter data - low memory, etc."
2147549196,0x8001000C,"The client (caller) cannot unmarshall the return data - low memory, etc."
2147549197,0x8001000D,"The server (callee) cannot marshall the return data - low memory, etc."
2147549198,0x8001000E,"The server (callee) cannot unmarshall the parameter data - low memory, etc."
2147549199,0x8001000F,Received data is invalid; could be server or client data.
2147549200,0x80010010,A particular parameter is invalid and cannot be (un)marshalled.
2147549201,0x80010011,There is no second outgoing call on same channel in DDE conversation.
2147549202,0x80010012,The callee (server [not server application]) is not available and disappeared; all connections are invalid. The call did not execute.
2147549440,0x80010100,System call failed.
2147549441,0x80010101,"Could not allocate some required resource (memory, events, ...)"
2147549442,0x80010102,Attempted to make calls on more than one thread in single threaded mode.
2147549443,0x80010103,The requested interface is not registered on the server object.
2147549444,0x80010104,RPC could not call the server or could not return the results of calling the server.
2147549445,0x80010105,The server threw an exception.
2147549446,0x80010106,Cannot change thread mode after it is set.
2147549447,0x80010107,The method called does not exist on the server.
2147549448,0x80010108,The object invoked has disconnected from its clients.
2147549449,0x80010109,The object invoked chose not to process the call now.  Try again later.
2147549450,0x8001010A,The message filter indicated that the application is busy.
2147549451,0x8001010B,The message filter rejected the call.
2147549452,0x8001010C,A call control interfaces was called with invalid data.
2147549453,0x8001010D,An outgoing call cannot be made since the application is dispatching an input-synchronous call.
2147549454,0x8001010E,The application called an interface that was marshalled for a different thread.
2147549455,0x8001010F,CoInitialize has not been called on the current thread.
2147549456,0x80010110,The version of OLE on the client and server machines does not match.
2147549457,0x80010111,OLE received a packet with an invalid header.
2147549458,0x80010112,OLE received a packet with an invalid extension.
2147549459,0x80010113,The requested object or interface does not exist.
2147549460,0x80010114,The requested object does not exist.
2147549461,0x80010115,OLE has sent a request and is waiting for a reply.
2147549462,0x80010116,OLE is waiting before retrying a request.
2147549463,0x80010117,Call context cannot be accessed after call completed.
2147549464,0x80010118,Impersonate on unsecure calls is not supported.
2147549465,0x80010119,Security must be initialized before any interfaces are marshalled or unmarshalled. It cannot be changed once initialized.
2147549466,0x8001011A,No security packages are installed on this machine or the user is not logged on or there are no compatible security packages between the client and server.
2147549467,0x8001011B,Access is denied.
2147549468,0x8001011C,Remote calls are not allowed for this process.
2147549469,0x8001011D,The marshaled interface data packet (OBJREF) has an invalid or unknown format.
2147549470,0x8001011E,No context is associated with this call. This happens for some custom marshalled calls and on the client side of the call.
2147549471,0x8001011F,This operation returned because the timeout period expired.
2147549472,0x80010120,There are no synchronize objects to wait on.
2147549473,0x80010121,Full subject issuer chain SSL principal name expected from the server.
2147549474,0x80010122,Principal name is not a valid MSSTD name.
2147549475,0x80010123,Unable to impersonate DCOM client
2147549476,0x80010124,Unable to obtain server's security context
2147549477,0x80010125,Unable to open the access token of the current thread
2147549478,0x80010126,Unable to obtain user info from an access token
2147549479,0x80010127,The client who called IAccessControl::IsAccessPermitted was not the trustee provided to the method
2147549480,0x80010128,Unable to obtain the client's security blanket
2147549481,0x80010129,Unable to set a discretionary ACL into a security descriptor
2147549482,0x8001012A,"The system function, AccessCheck, returned false"
2147549483,0x8001012B,Either NetAccessDel or NetAccessAdd returned an error code.
2147549484,0x8001012C,"One of the trustee strings provided by the user did not conform to the <Domain>\<Name> syntax and it was not the ""*"" string"
2147549485,0x8001012D,One of the security identifiers provided by the user was invalid
2147549486,0x8001012E,Unable to convert a wide character trustee string to a multibyte trustee string
2147549487,0x8001012F,Unable to find a security identifier that corresponds to a trustee string provided by the user
2147549488,0x80010130,"The system function, LookupAccountSID, failed"
2147549489,0x80010131,Unable to find a trustee name that corresponds to a security identifier provided by the user
2147549490,0x80010132,"The system function, LookupAccountName, failed"
2147549491,0x80010133,Unable to set or reset a serialization handle
2147549492,0x80010134,Unable to obtain the Windows directory
2147549493,0x80010135,Path too long
2147549494,0x80010136,Unable to generate a uuid.
2147549495,0x80010137,Unable to create file
2147549496,0x80010138,Unable to close a serialization handle or a file handle.
2147549497,0x80010139,The number of ACEs in an ACL exceeds the system limit.
2147549498,0x8001013A,Not all the DENY_ACCESS ACEs are arranged in front of the GRANT_ACCESS ACEs in the stream.
2147549499,0x8001013B,The version of ACL format in the stream is not supported by this implementation of IAccessControl
2147549500,0x8001013C,Unable to open the access token of the server process
2147549501,0x8001013D,Unable to decode the ACL in the stream provided by the user
2147549503,0x8001013F,The COM IAccessControl object is not initialized
2147549504,0x80010140,Call Cancellation is disabled
2147614719,0x8001FFFF,An internal error occurred.
2147614721,0x80020001,Unknown interface.
2147614723,0x80020003,Member not found.
2147614724,0x80020004,Parameter not found.
2147614725,0x80020005,Type mismatch.
2147614726,0x80020006,Unknown name.
2147614727,0x80020007,No named arguments.
2147614728,0x80020008,Bad variable type.
2147614729,0x80020009,Exception occurred.
2147614730,0x8002000A,Out of present range.
2147614731,0x8002000B,Invalid index.
2147614732,0x8002000C,Unknown language.
2147614733,0x8002000D,Memory is locked.
2147614734,0x8002000E,Invalid number of parameters.
2147614735,0x8002000F,Parameter not optional.
2147614736,0x80020010,Invalid callee.
2147614737,0x80020011,Does not support a collection.
2147614738,0x80020012,Division by zero.
2147614739,0x80020013,Buffer too small
2147647510,0x80028016,Buffer too small.
2147647511,0x80028017,Field name not defined in the record.
2147647512,0x80028018,Old format or invalid type library.
2147647513,0x80028019,Old format or invalid type library.
2147647516,0x8002801C,Error accessing the OLE registry.
2147647517,0x8002801D,Library not registered.
2147647527,0x80028027,Bound to unknown type.
2147647528,0x80028028,Qualified name disallowed.
2147647529,0x80028029,"Invalid forward reference, or reference to uncompiled type."
2147647530,0x8002802A,Type mismatch.
2147647531,0x8002802B,Element not found.
2147647532,0x8002802C,Ambiguous name.
2147647533,0x8002802D,Name already exists in the library.
2147647534,0x8002802E,Unknown LCID.
2147647535,0x8002802F,Function not defined in specified DLL.
2147649725,0x800288BD,Wrong module kind for the operation.
2147649733,0x800288C5,Size may not exceed 64K.
2147649734,0x800288C6,Duplicate ID in inheritance hierarchy.
2147649743,0x800288CF,Incorrect inheritance depth in standard OLE hmember.
2147650720,0x80028CA0,Type mismatch.
2147650721,0x80028CA1,Invalid number of arguments.
2147650722,0x80028CA2,I/O Error.
2147650723,0x80028CA3,Error creating unique tmp file.
2147654730,0x80029C4A,Error loading type library/DLL.
2147654787,0x80029C83,Inconsistent property functions.
2147654788,0x80029C84,Circular dependency between types/modules.
2147680257,0x80030001,Unable to perform requested operation.
2147680258,0x80030002,%1 could not be found.
2147680259,0x80030003,The path %1 could not be found.
2147680260,0x80030004,There are insufficient resources to open another file.
2147680261,0x80030005,Access Denied.
2147680262,0x80030006,Attempted an operation on an invalid object.
2147680264,0x80030008,There is insufficient memory available to complete operation.
2147680265,0x80030009,Invalid pointer error.
2147680274,0x80030012,There are no more entries to return.
2147680275,0x80030013,Disk is write-protected.
2147680281,0x80030019,An error occurred during a seek operation.
2147680285,0x8003001D,A disk error occurred during a write operation.
2147680286,0x8003001E,A disk error occurred during a read operation.
2147680288,0x80030020,A share violation has occurred.
2147680289,0x80030021,A lock violation has occurred.
2147680336,0x80030050,%1 already exists.
2147680343,0x80030057,Invalid parameter error.
2147680368,0x80030070,There is insufficient disk space to complete operation.
2147680496,0x800300F0,Illegal write of non-simple property to simple property set.
2147680506,0x800300FA,An API call exited abnormally.
2147680507,0x800300FB,The file %1 is not a valid compound file.
2147680508,0x800300FC,The name %1 is not valid.
2147680509,0x800300FD,An unexpected error occurred.
2147680510,0x800300FE,That function is not implemented.
2147680511,0x800300FF,Invalid flag error.
2147680512,0x80030100,Attempted to use an object that is busy.
2147680513,0x80030101,The storage has been changed since the last commit.
2147680514,0x80030102,Attempted to use an object that has ceased to exist.
2147680515,0x80030103,Can't save.
2147680516,0x80030104,The compound file %1 was produced with an incompatible version of storage.
2147680517,0x80030105,The compound file %1 was produced with a newer version of storage.
2147680518,0x80030106,Share.exe or equivalent is required for operation.
2147680519,0x80030107,Illegal operation called on non-file based storage.
2147680520,0x80030108,Illegal operation called on object with extant marshallings.
2147680521,0x80030109,The docfile has been corrupted.
2147680528,0x80030110,OLE32.DLL has been loaded at the wrong address.
2147680529,0x80030111,The compound file is too large for the current implementation
2147680530,0x80030112,The compound file was not created with the STGM_SIMPLE flag
2147680769,0x80030201,The file download was aborted abnormally.  The file is incomplete.
2147680770,0x80030202,The file download has been terminated.
2147681029,0x80030305,Generic Copy Protection Error.
2147681030,0x80030306,Copy Protection Error - DVD CSS Authentication failed.
2147681031,0x80030307,Copy Protection Error - The given sector does not have a valid CSS key.
2147681032,0x80030308,Copy Protection Error - DVD session key not established.
2147681033,0x80030309,Copy Protection Error - The read failed because the sector is encrypted.
2147681034,0x8003030A,Copy Protection Error - The current DVD's region does not correspond to the region setting of the drive.
2147681035,0x8003030B,Copy Protection Error - The drive's region setting may be permanent or the number of user resets has been exhausted.
2147745792,0x80040000,Invalid OLEVERB structure
2147745793,0x80040001,Invalid advise flags
2147745794,0x80040002,"Can't enumerate any more, because the associated data is missing"
2147745795,0x80040003,This implementation doesn't take advises
2147745796,0x80040004,There is no connection for this connection ID
2147745797,0x80040005,Need to run the object to perform this operation
2147745798,0x80040006,There is no cache to operate on
2147745799,0x80040007,Uninitialized object
2147745800,0x80040008,Linked object's source class has changed
2147745801,0x80040009,Not able to get the moniker of the object
2147745802,0x8004000A,Not able to bind to the source
2147745803,0x8004000B,Object is static; operation not allowed
2147745804,0x8004000C,User canceled out of save dialog
2147745805,0x8004000D,Invalid rectangle
2147745806,0x8004000E,compobj.dll is too old for the ole2.dll initialized
2147745807,0x8004000F,Invalid window handle
2147745808,0x80040010,Object is not in any of the inplace active states
2147745809,0x80040011,Not able to convert object
2147745810,0x80040012,Not able to perform the operation because object is not given storage yet
2147745892,0x80040064,Invalid FORMATETC structure
2147745893,0x80040065,Invalid DVTARGETDEVICE structure
2147745894,0x80040066,Invalid STDGMEDIUM structure
2147745895,0x80040067,Invalid STATDATA structure
2147745896,0x80040068,Invalid lindex
2147745897,0x80040069,Invalid tymed
2147745898,0x8004006A,Invalid clipboard format
2147745899,0x8004006B,Invalid aspect(s)
2147745900,0x8004006C,tdSize parameter of the DVTARGETDEVICE structure is invalid
2147745901,0x8004006D,Object doesn't support IViewObject interface
2147746048,0x80040100,Trying to revoke a drop target that has not been registered
2147746049,0x80040101,This window has already been registered as a drop target
2147746050,0x80040102,Invalid window handle
